v1,linex,assignment,should_exclude,responded,donation,network,sms,date,link,responseidx,responseidy,payment_amt
1,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:59:34,original_link,R_3frYcbmjYPblIco,R_3KNOZR88UclBFmE,25 EGP
2,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 08:52:19,original_link,R_3frYcbmjYPblIco,R_2eXsQAwrXvPPpEL,25 EGP
3,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:32:40,original_link,R_1OW5SWOPKfCGHyH,R_T25BDqifAGbT9JL,25 EGP
4,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 06:45:56,original_link,R_1OW5SWOPKfCGHyH,R_xbGUu6qHq7htjod,25 EGP
5,1,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-10 11:59:35,original_link,R_2zkag1IjPQzRlUn,R_1DpSDVhRERUd2t4,No Payment
6,1,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-24 05:21:44,original_link,R_2zkag1IjPQzRlUn,R_1LnAkvBJl2WAO1B,No Payment
7,1,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-10 12:29:24,original_link,R_3iIlAPH5iKoXJr5,R_2CWk8tr0Bm7daBp,25 EGP
8,1,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-27 09:45:28,original_link,R_3iIlAPH5iKoXJr5,R_12KHfPmeCgqGTNc,25 EGP
9,1,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-28 17:31:24,original_link,R_3iIlAPH5iKoXJr5,R_0HdbJ3z8krWlKSd,25 EGP
10,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:48:35,original_link,R_1d9NUnU3dD5QJUN,R_20MqlKeS0r4ugrT,25 EGP
11,1,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 09:51:37,original_link,R_1d9NUnU3dD5QJUN,R_1myijybCSEz2ULn,25 EGP
12,1,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 11:53:19,original_link,R_12MuCeHUv3J7nB6,R_BX2fZTq1U3jndaV,25 EGP
13,1,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-29 14:53:46,original_link,R_12MuCeHUv3J7nB6,R_1js7HkmgomxmhkZ,25 EGP
