"","ResponseId","v1","assignment","should_exclude","responded","geometry","governatore"
"1","R_00e0wotBfiKeoDL",2249,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"2","R_00wFn13v18tvlPH",3335,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"3","R_00zZcVai3RNYP9D",3298,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"4","R_01TYvMrEsUYPzrP",2236,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"5","R_01WObSSZRrH88Hn",2847,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"6","R_01bcXQnKYWNG0sF",3637,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"7","R_02gSRZ9FJt6BT57",4044,"Remind_Show",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"8","R_03CpMYpPPcxay9X",1281,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"9","R_03phl1wAq3iOCxH",3947,"WhatsApp_Ind",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"10","R_03wAtvmBGNmTwL7",3343,"Remind_Show",0,1,c(31.5621948242188, 30.4203948974609),"Sharkia"
"11","R_07XoXf1szrEjqYV",3447,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"12","R_08Q2fDbmRpSyUlb",2555,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"13","R_09FkM6q0kTaaR0J",2469,"WhatsApp_Ind",0,1,c(31.7463073730469, 30.2964019775391),"Sharkia"
"14","R_0AQ5MeFOmNtOAy5",3946,"WhatsApp_Group",0,1,c(31.2194061279297, 30.0079956054688),"Giza"
"15","R_0BeHAXwbtPLP2zT",623,"Control",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"16","R_0BuCuJL6BI4ahz3",3116,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"17","R_0CFSZV7dUGy09ot",1033,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"18","R_0HsL5E9l5oNLFPr",1164,"Control",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"19","R_0IXrkCXBUF0uwuZ",1475,"WhatsApp_Group",0,1,c(31.8105010986328, 31.4165954589844),"0"
"20","R_0J1k9wiM2QXAxi1",1666,"Remind_Show",0,1,c(31.8105010986328, 31.4165954589844),"0"
"21","R_0J4Z48VkFto8DVD",891,"Control",0,1,c(31.5028991699219, 30.5872955322266),"Sharkia"
"22","R_0JMu0j5bG8xHUR3",1699,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"23","R_0JP5LNuKKdPfwdP",1951,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"24","R_0NGq7cGNnBvt4Qx",3253,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"25","R_0PzCYhHdl3dMF0t",2223,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"26","R_0SWPbGh1G2bGXi9",330,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"27","R_0ThpoePID1Z1De9",3660,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"28","R_0UmexfwIWxpINxv",2205,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"29","R_0UtTtrzHrTteVAl",2911,"Remind_Show",0,1,c(30.7037048339844, 30.7593994140625),"Behera"
"30","R_0VC3rr6UEMreJ21",721,"Control",0,1,c(31.6499938964844, 30.0500030517578),"Cairo"
"31","R_0c5BQBrElDLVGpP",963,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
