"","index","answer_mar","answer_unm"
"1","3",NA,NA
"2","7",NA,NA
"3","8",NA,NA
"4","10",NA,NA
"5","11",NA,NA
"6","12",NA,NA
"7","14",NA,NA
"8","15",NA,NA
"9","16",NA,NA
"10","22",NA,"مدرسة تأسيس لغة عربية فى بيتى"
"11","23",NA,NA
"12","24",NA,NA
"13","26",NA,NA
"14","28",NA,NA
"15","30",NA,NA
"16","31",NA,NA
"17","33",NA,NA
"18","35",NA,NA
"19","36",NA,NA
"20","37",NA,NA
"21","39",NA,NA
"22","41",NA,NA
"23","42",NA,NA
"24","43",NA,NA
"25","44",NA,NA
"26","49",NA,NA
"27","52",NA,NA
"28","56",NA,NA
"29","59",NA,NA
"30","62",NA,NA
"31","65",NA,"الدراسة والعمل خارج المنزل"
"32","67",NA,NA
"33","68",NA,NA
"34","71",NA,NA
"35","73",NA,NA
"36","78",NA,NA
"37","79",NA,NA
"38","82",NA,NA
"39","83",NA,NA
"40","85",NA,NA
"41","86",NA,NA
"42","87",NA,NA
"43","89",NA,NA
"44","92",NA,NA
"45","94",NA,NA
"46","97",NA,NA
"47","98",NA,NA
"48","99",NA,"الرسم"
"49","100",NA,"تدريبات واعمال تطوعية وندوات وتنظيمات"
"50","107",NA,NA
"51","108",NA,NA
"52","111",NA,NA
"53","114",NA,NA
"54","115",NA,NA
"55","117",NA,NA
"56","123",NA,NA
"57","125",NA,NA
"58","126",NA,NA
"59","128",NA,NA
"60","129",NA,NA
"61","136",NA,NA
"62","138",NA,NA
"63","141",NA,NA
"64","144",NA,NA
"65","145",NA,NA
"66","150",NA,NA
"67","151",NA,NA
"68","153",NA,NA
"69","158",NA,NA
"70","159",NA,NA
"71","164",NA,NA
"72","168",NA,NA
"73","171",NA,NA
"74","174",NA,NA
"75","175",NA,NA
"76","177",NA,NA
"77","181",NA,NA
"78","183",NA,NA
"79","184",NA,"العمل بالمنزل:شغل البيت والعمل من المنزل"
"80","186",NA,NA
"81","187",NA,NA
"82","193",NA,NA
"83","194",NA,NA
"84","196",NA,NA
"85","205",NA,NA
"86","209",NA,NA
"87","210",NA,NA
