"","index","answer_mar","answer_unm"
"1","14",NA,"تقضيه اليوم بالبيت واحيانا النزول لتمشيه اطفالي"
"2","19",NA,"اعمل واذاكر لبنتي واوديها النادي للتمرين"
"3","119",NA,"العمل خارج المنزل والدراسه"
"4","136",NA,"الدراسه والعمل"
"5","144","تدريب يخص الدراسه والمجال التعليمي",NA
"6","181",NA,"شغل البيت مع الاطلاع وممارسة بعض الهوايات"
"7","199",NA,"كنت متطوعه للعمل في الجامعه بدون مقابل وارعي امي المريضه وشغل البيت"
"8","203","فى العمل صباحا وفي المنزل بعد الظهر ومع مذاكرتى",NA
"9","205","اعمل خارج المنزل واعتني باسرتي واقوم بشغل البيت بالإضافة إلى دراسة الدكتوراة",NA
"10","209",NA,"تسويق منتجات اونلاين"
"11","220",NA,"ممثلة مسرح وكنت مسافرة اسوان"
"12","277",NA,"الرياضة"
"13","290",NA,"لا اعمل"
"14","326",NA,"الكلية"
"15","329","اشتغل شغلى الحكومى وشغل البيت وشغل حزبى كأمين",NA
"16","423","لا اعمل",NA
"17","425",NA,"العمل خارج المنزل وممارسه الرياضه"
"18","479","كورسات الولاد والتمارين",NA
"19","509",NA,"كنت باخد كورسات تخص دراستي للغة الالمانية وبزور اماكن واخرج"
"20","510",NA,NA
"21","521",NA,"شغلي وخروج بره البيت والجماعه"
"22","525","شغل بيت ودراسة من المنزل معا",NA
"23","540",NA,"الذهاب الى النادى والعمل في نهار اليوم و الذهاب للتمشيه"
"24","640",NA,"اتحادات الطلاب مع الدراسة"
"25","682","لا شيء",NA
"26","711",NA,"العمل خارج المنزل الي جانب الدراسة"
"27","719","الجيم",NA
"28","754","تمارين الاولاد ودراستهم",NA
"29","781","اعمال خير خدمة للاخرين مجانا وليس عمل",NA
"30","827","العمل فى المنزل شغل البيت او العنايه بالاسره والدراسه اونلاين",NA
"31","854","لا يوجد عمل",NA
"32","862",NA,"العمل والدراسة"
"33","922",NA,"دراسه وعمل"
"34","948",NA,"العمل خارج المنزل والدراسة"
"35","1014",NA,"الدراسه و اني اشوف صحابي"
"36","1030","الدراسة مع رعاية البيت والاولاد مع وجود شخص يساعدني",NA
"37","1063","كنت بخرج احيانا كل يوم او يقضي وقت مع عائلتي وطبعا كنت بقعد ف البيت بعمل واجبي لو مخرجتش أو مقابلتش حد وبكتب وأقرأ امارس هواياتي",NA
"38","1067","تمارين السباحة الخاصة بأبنى",NA
"39","1123",NA,"كنت اذهب الي مكتب تحفيظ للقرآن"
"40","1179","الدراسه لاولادي",NA
"41","1193",NA,"اعمل وادرس"
"42","1234",NA,"لا اعمل اقوم ب اعمال المنزل و اجلس بغرفتي"
"43","1235",NA,"العمل ""معيدة محاسبة"" والدراسة أيضا"" تمهيدي ماجستير"""
"44","1240","توصيل الأولاد للدروس  والتمارين الرياضية بجانب العمل خارج المنزل وشغل البيت والعنايه بالاسره",NA
"45","1244",NA,"في المنزل بس بدون عمل<U+0001F602>"
"46","1249",NA,"السياحة ولقاء الصديقات"
"47","1290",NA,"دراسة الدكتوراة"
