"","index","answer_mar","answer_unm"
"1","6","الاهتمام ببنتي",NA
"2","15",NA,",توقفت عن العمل"
"3","72",NA,"بدو عمل حاليا"
"4","74",NA,"ولا حاجه"
"5","87",NA,"الدراسه و البهدلة فىى مشاكل البيت بسبب العنف الاسرى"
"6","90",NA,"البقاء في المنزل"
"7","123",NA,"العمل فى المنزل بالاضافه لبعض الكورسات المجانيه عبر الانترنت"
"8","136",NA,"لا اعمل"
"9","137","براعي االيت وبشتغل اعمل يدوية في محاولة لتحسين الدخل",NA
"10","148","لا أتفهم طبيعه عمله",NA
"11","193",NA,"لا شئ"
"12","196","كنت ف اجازة وضع",NA
"13","199",NA,"مسئوليات امي المريضه وشغل البيت والدراسه"
"14","209",NA,"تسويق منتجات اونلاين"
"15","236",NA,"بين مساعدة في شغل البيت و الدراسة"
"16","252",NA,"لا يوجد نشاط ؛ العمل متوقف"
"17","254",NA,"جزء من الوقت انجاز عملي الاساسي ولكن من المنزل بشكل إليكتروني الي جانب شغل البيت"
"18","259",NA,"لا نعمل خارج المنزل"
"19","266",NA,"تركت العمل"
"20","283",NA,"القراءة"
"21","290",NA,"لا اعمل"
"22","293","شغل البيت و دراسة",NA
"23","323","الدراسة علي لاب توب وشغل المنزل",NA
"24","326",NA,"الكلية"
"25","329","شغل البيت وفيه معظم وقتى وشغلى الحزبى",NA
"26","354",NA,"تسلية"
"27","382",NA,"لا اعمل"
"28","407","الدراسة",NA
"29","422",NA,"قراءة ، سوشيال ميديا"
"30","423","فى المنزل",NA
"31","435",NA,"النوم وباخد كورسات اونلاين وبشتغل على اللغة بتاعتي"
"32","455","انقطعت عن العمل",NA
"33","461",NA,"لا شىء مجرد الجلوس فى المنزل والأكل وغسل المواعين"
"34","469",NA,"القراءه وتطوير الذات والاعتناء بنفسي وجسمي اكتر"
"35","501",NA,"الدراسه من المنزل"
"36","502",NA,"تعلمت الكروشيه واغلب الوقت لا اقوم بأي عمل"
"37","521",NA,"الجامعه"
"38","525","شغل بيت ودراسة ايضا",NA
"39","527",NA,"باخد كورسات اون لاين"
"40","540",NA,"مش بعمل اى حاجه في حياتى غير النوم ومصابه بأكتئاب رهيب وتفكير فى الانتحار وضغط نفسي وعصبي خصوصا ان كنت بتعالج من الاكتئاب قبل كده والاوضاع دلوقتي مش مسعداني خالص وأهلي طبعا مش متفاهمين معايا خالص انا لوحدي بجد"
"41","547",NA,"لا شئ"
"42","600","العمل بمحلى اللى هو طبعا مش شغال واوجه معه صعوبات كبيرة فى تسديد الايجار",NA
"43","619",NA,"العمل وتطوير الذات داخل المنزل"
"44","623",NA,"بعضها تعليم ذاتي من خلال الإنترنت أي دراسة، وبعضها عمل بالمنزل يتضمن شغل البيت."
"45","634",NA,"الجلوس في المنزل"
"46","636",NA,"نوم"
"47","638",NA,"لا يوجد عمل بسبب إغلاق الشركه"
"48","646","كل الوقت اعمل فى المنزل",NA
"49","651",NA,"بدون عمل"
"50","682","العنايه بالمنزل",NA
"51","689","هوايات واشغال فنية",NA
"52","693",NA,"الانترنت"
"53","696",NA,"الدراسة مع وسائل التواصل الاجتماعى العناية بالاسرة"
"54","714","اجازة استثنائية",NA
"55","748",NA,"تنمية مهارات"
"56","772",NA,"قاعدين مبنعملش اي حاجه"
"57","810",NA,"القراءه"
"58","827","شغل البيت والعنايه بالاسره والدراسه اونلاين",NA
"59","828",NA,"الجلوس في المنزل"
"60","904",NA,"النوم"
"61","964",NA,"النوم"
"62","979","اقضى وقت فى المنزل مع اولادى",NA
"63","993",NA,"نايمه ف البيت"
"64","1013",NA,"و لا اي شئ يذكر النت و بس و الابحاث"
"65","1014",NA,"الدراسه و اللعب في البيت و القراءة عن حقوق المرأه اكثر و حلات الاغتصاب و القتل"
"66","1016",NA,"بدرس شوية وبشتغل في البيت شوية"
"67","1030","الدراسة مع رعاية البيت والاولاد بشكل جزئي",NA
"68","1044",NA,"الدراسة عن بعد وعمل الأبحاث"
"69","1049",NA,"الشركه ادوني اجازه بدون مرتب و كمان انا اللي بدفع التأمينات و الضرايب"
"70","1067","كورسات اون لاين للحفاظ على مستوى ابنى الدراسي",NA
"71","1072",NA,"قاعده في البيت يعني قبل الكورونا كنت بشغل نفسي في الدراسه حاليا لا في دراسه ولا خروج"
"72","1085",NA,"بدون عمل"
"73","1086",NA,"في البيت بقضيها نوم"
"74","1090","بعض الأوقات اقوم بالذهاب لعملي الحكومي لاحتياجه لي واعود سريعا للقيام بأعمال المنزل بمساعدة زوجي وأحيانا اقوم بالعمل من المنزل في الكتابة والترجمة",NA
"75","1140",NA,"العمل متوقف جزئيا"
"76","1155","العمل في المنزل والدراسة",NA
"77","1162","للجلوس في البيت دوم عمل رعاية الاطفال والبحث عن عمل",NA
"78","1234",NA,"محبوسين ف البيت"
"79","1235",NA,"الدراسة من المنزل والعمل بعض الوقت خارج المنزل والراتب عن أيام الحضور فقط"
"80","1245","مفيش عمل",NA
"81","1249",NA,"مشاهدة الافلام"
"82","1300",NA,"Nothing"
"83","1306",NA,"شغل البيت والعناية بالأسرة والدراسة"
"84","1352",NA,"دون عمل"
"85","1355","دون عمل",NA
"86","1357",NA,"لا شي"
"87","1360",NA,"االدراسه متوقفه"
"88","1369","القراءة والرياضة",NA
"89","1392",NA,"لا افعل اي شيء"
"90","1393",NA,"لا أفعل شي"
"91","1400","ف المنزل بدون عمل",NA
"92","1401",NA,"قراءة-أفلام-وقت عائلي-دراسة-سوشال ميديا-رياضة أحيانًا-شغل بيت"
"93","1402",NA,"العزف عالبيانو الغناء القراءه ومشاهده الافلام"
"94","1413",NA,"ممارسة انشطه"
"95","1420",NA,"مش بعمل حاجه خالص وطول الوقت قاعدة فالبيت"
"96","1443",NA,"جزء من الوقت أعمل خارج المنزل و جزء من الوقت أعمل في المنزل و الدراسة معا"
"97","1449","ابحث عن عمل من المنزل يناسب ظروفى",NA
"98","1467","لا يوجد عمل",NA
"99","1479","لا شسدي",NA
"100","1503","جزء بسيط خارج المنزل و الدراسة و متابعة البيت و الاولاد و ابحث عن شغل من داخل المنزل",NA
"101","1509",NA,"لا شئ"
"102","1510","شغل البيت والتلفزيون والنت",NA
"103","1552",NA,"لا اعمل"
"104","1558",NA,"ممارسة بعض الهوايات كالرسم و القراءة"
"105","1562",NA,"وابحث عن عمل"
"106","1571",NA,"لا يوجد"
"107","1592","جزء من الأسبوع في العمل من المنزل وباقي الاسبوع العمل في المنزل",NA
"108","1610",NA,"العمل من المنزل وفي المنزل وبدون عمل"
