"","index","answer"
"1","6","لا يوجد  بيلعب ف الموبايل لعبه ببجي"
"2","12","لا يعمل"
"3","32","تعطل العمل"
"4","67","لا يعمل"
"5","93","لا يعمل"
"6","101","لا يعمل"
"7","107","مفيش شغل"
"8","137","لا يعمل"
"9","148","لا أتفهم طبيعه عمله لانه خارج البلاد"
"10","168","مبيعملش حاجه"
"11","172","فقد عمله"
"12","175","بعض الهوايات مثل زراعة البلكونه ببعض النباتات"
"13","196","يعمل لأنه طبيب"
"14","197","لا يعمل"
"15","212","لا يعمل"
"16","224","العمل وقت قليل خارج المنزل"
"17","232","لا يعمل"
"18","270","لا يعمل... يجلس بالمنزل"
"19","282","لا يعمل"
"20","297","لايوجد عمل"
"21","385","خارج مصر"
"22","389","لا يعمل"
"23","407","جزء من اليوم خارج المنزل والباقى بالمنزل"
"24","413","وقت فراغ كبير"
"25","420","لا يعمل"
"26","455","انقطع عن العمل"
"27","464","لا يعمل"
"28","467","ترك العمل و جلس بالبيت و من ثم بحث عن عمل اخر في الآونة الأخيرة"
"29","481","لا يعمل"
"30","483","البيت"
"31","537","لايعمل"
"32","588","بدون عمل"
"33","600","يقوم معى بمتابعه المحل الخاص بينا لانه ترك العمل الاساسى للاسف"
"34","609","لا يعمل"
"35","613","لايعمل"
"36","632","لا يوجد"
"37","653","لايعمل"
"38","664","بدون عمل"
"39","668","بالكاد لا يعمل عشان نجار موبليا يوم فى الشغل وعشره فى البيت"
"40","676","لا يعمل"
"41","688","لا يعمل"
"42","690","لا يعمل"
"43","700","لا شئ اثناءالوباءلانةقضي علي الشغل الخارجي"
"44","710","قاعد من الشغل"
"45","717","مفيش شغل"
"46","723","لا يوجد عمل"
"47","733","لا يعمل"
"48","740","لايعمل"
"49","742","لا شيء"
"50","796","لا عمل"
"51","819","لا يعمل نهائيا"
"52","858","مسافر خارج مصر"
"53","874","القعده فى البيت لاسباب مرضيه"
"54","876","يذهب لعمله ويزرع قطعه أرض تحوزها اخواتة"
"55","914","مريض"
"56","944","لا يوجد عمل"
"57","1002","الجلوس في المنزل بلا عمل"
"58","1005","مسافر بره وفي حظر فلا يعمل"
"59","1030","العمل خارج المنزل وتقديم المساعدة المنزلية للاسرة"
"60","1065","لا يعمل"
