"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"1","4","First:","فيس بوك",NA,NA,NA,NA
"2","10","First:,Second:","جوجل","فيس بوك",NA,NA,NA
"3","15","First:,Second:,Third:,Fourth:,Fifth:","الجروبات النسائيه","مركز قضايا المراه","شكاوى المحتاره","جروب أم العيال يا مسحوله","جروب حوامل زى العسل"
"4","20","First:,Second:","المجلس القومى لحقوق المرأة والطفل",NA,NA,NA,NA
"5","27","First:,I do not know any.",NA,NA,NA,NA,NA
"6","28","First:,Second:,Fourth:","فيس بوك","اليوم السابع",NA,NA,NA
"7","29","First:,Second:,Third:,Fourth:,I do not know any.","المجلس القومى للمرأة","مجموعات نسائية ع الفيس","مجموعات واتس اب","بعض مواقع اليوتيوب",NA
"8","31","First:,Second:","موسسة مودة","صفحات عالفيس بوك",NA,NA,NA
"9","33","First:,Second:","خيط و إبرة","حقوق المرأة",NA,NA,NA
"10","37","First:,Second:","المجلس القومي لحقوق المراة","محكمة الأسرة",NA,NA,NA
"11","40","First:,I do not know any.","منظمة حقوق المرأة",NA,NA,NA,NA
"12","44","First:","جروب سينجل مازر نرمين عبد السلام",NA,NA,NA,NA
"13","48","First:,Second:,Third:,Fourth:,Fifth:","جمعية حقوق المرأه","الانترنت","القضاء","الشريعه","تدخل الاهل"
"14","51","First:,Second:,Third:,Fourth:,I do not know any.","لااعرف","لااعرف","لااعرف","لااعرف",NA
"15","52","First:,Third:,I do not know any.","الانترنت",NA,NA,NA,NA
"16","53","First:","المجلس القومى للمراه",NA,NA,NA,NA
"17","63","First:,Second:,Third:,Fourth:,Fifth:","التلفزيون","السوشيا ميديا","حالات معرفه شخصيه","انا شخصيا","الجيران"
"18","66","First:,Second:,Third:","مركز المرأه","العنف ضد المرأه","العنف المنزلي",NA,NA
"19","67","First:,Second:,Third:,Fourth:","الفيس بوك","الاخبار","بعض الجيران",NA,NA
"20","71","First:","حقوق المرأة",NA,NA,NA,NA
"21","76","First:,Second:,Third:,Fourth:,Fifth:","منتدي فتكات","جروب سوشيال بروبليم","جروب انت مش لوحدك","مش عارفه","مش عارفه"
"22","78","First:,Second:","قصتها صفحة على الإنترنت","UNWomen",NA,NA,NA
"23","79","First:","Facebook",NA,NA,NA,NA
"24","81","First:,Second:,Third:","فيس بوك","التلفزيون","الحرائد",NA,NA
"25","82","First:,Second:,Third:","اخبار من فيس بوك","وات ساب","برامج على YouTube",NA,NA
"26","87","First:,Second:,Third:,Fourth:,Fifth:","صفحه المجلس القومى للمرأه","جمعيه النسائيه لتحسين الصحه","لا اعرف","لا اعرف","لا اعرف"
"27","91","First:,Second:","الشرطة","منظمة حقوق المرأة",NA,NA,NA
"28","93","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"29","94","First:,Second:,Third:,I do not know any.","المجلس للقومي للمرأه","مودة","Ypeer",NA,NA
"30","96","First:","جميعة حقوق المرأة",NA,NA,NA,NA
"31","99","First:","ولا واحد",NA,NA,NA,NA
"32","100","First:,I do not know any.","المجلس القومى للمرأة",NA,NA,NA,NA
"33","101","First:,Second:,Third:","نهاد ابو القمصان المحامية","المجلس القومي للمرأة","خط نجدة المرأة",NA,NA
"34","103","First:,Second:","مكتب ا ناهد ابو القمصان","محكمة الأسرة",NA,NA,NA
"35","105","First:,Second:,Third:,Fourth:,Fifth:","صفحات تخص الارشاد الاسري","برنامج من برامج الاسره والمرأه","كتب عن هذه القضيه","اخبار عن مشاكل وحلول للقضيه","تجارب حياتيه مع اشخاص عن طريق جروبات الفيس بوك"
"36","106","First:,Second:","المجلس القومي للمرأة","WHEC",NA,NA,NA
"37","107","First:,Second:,Third:,Fourth:,Fifth:","اليوم السابع","المصري اليوم","فيس بوك","برامج","أخبار علي مواقع انترنت"
"38","110","First:,Second:,Third:,Fourth:,Fifth:","الضرب","الاهانه","الحموات","الخلفة","الميراث"
"39","111","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","تويتر","انستجرام","يوتيوب","تليجرام"
"40","113","Second:,I do not know any.",NA,NA,NA,NA,NA
"41","118","First:,Second:,Third:","انا","الجيران","الفيس بوك",NA,NA
"42","120","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"43","125","First:,I do not know any.","1",NA,NA,NA,NA
"44","126","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"45","133","First:","حقوق المرأة",NA,NA,NA,NA
"46","138","First:,Second:,Third:","المجلس القومى للمرأة","جمعيات اهليه متخصصة","محاميين متخصصين",NA,NA
"47","140","First:,Second:","فيسبوك","التليفزيون",NA,NA,NA
"48","143","First:","القومي للمرأه",NA,NA,NA,NA
"49","145","First:,Second:","برنامج الدكتوره نهال ابو القمصان","صفحه solve problems with women",NA,NA,NA
"50","146","First:","المركز القومى للمرأة",NA,NA,NA,NA
"51","147","First:,Second:,Third:","مدام نهاد ابو القمصان","المجلس القومي للمرأة","برامج المشورة الزوجية الموجود بالكنائس",NA,NA
"52","148","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس اب","يوتيوب","انستاغرام","تويتر"
"53","152","First:,Second:,Third:","يوتيوب","مسوق بالعموله","تك توك",NA,NA
"54","154","First:,Second:,Third:","جروب كلام ستات","جوجل","جروب ستات مفروسة",NA,NA
"55","155","First:","أمهات مصر المعايلات",NA,NA,NA,NA
"56","157","First:,Second:,Third:,Fourth:,Fifth:","الدش","يوتيوب","الفيس بوك","جوجل","كتب عن العنف مع المرأة ( سوق بلاى)"
"57","161","First:,Second:","مركز حقوق المرأة والطفل","المجتمع المدني",NA,NA,NA
"58","164","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"59","165","First:,Second:","المركز القومي للامومة والطفولة","ألمركز القومي للمرأة",NA,NA,NA
"60","172","First:,Second:,Third:,Fourth:,Fifth:","اليوتيوب","الفيسبوك","التيك توك","جوجل","واتساب"
"61","177","First:,Second:","جوجل","فيس بوك",NA,NA,NA
"62","179","First:,I do not know any.","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"63","183","First:,Second:","جروب للنساء فقط","دكتورة نهاد",NA,NA,NA
"64","184","First:,Second:","المجلس القومي للمرأة","بعض المراكز الحقوقية بتقدم دعم قانوني",NA,NA,NA
"65","188","First:","لا اعرف ذلك",NA,NA,NA,NA
"66","195","First:,Second:","المركز القومي للمرأة","محكمة الاسرة",NA,NA,NA
"67","203","First:,Second:","المجلس القومى لحقوق المراة","محكمة الاسرة",NA,NA,NA
"68","204","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأه","مراكز حقوق الإنسان",NA,NA
"69","206","First:,Second:","منظمة العنف الدولية","ويكيبيديا",NA,NA,NA
"70","208","First:,Second:,Third:,Fourth:,Fifth:","هن","هي وبس","هتفضل جانبك","ثورة المرأة","أو من خلالي"
"71","210","First:,Second:","برامج النت","بعض القضايا بالاخبار",NA,NA,NA
"72","213","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","جوجل","واتساب","تويتر","انستجرام"
