"","index","know_org","know_org1","know_org2","know_org3","know_org4","know_org5"
"1","10","First:","لا اعلم",NA,NA,NA,NA
"2","12","First:,Second:","حقوق الانسان","محكمه الاسرة",NA,NA,NA
"3","15","First:,Second:,Third:,Fourth:,Fifth:","الحروبات النسائيه","مركز قضايا المراه","جروب أم العيال المسحوله","شكاوى المحتاره","حوامل زى العسل"
"4","21","First:,Second:","مكاتب حقي","مجلس المرأه",NA,NA,NA
"5","22","First:","برامج الأسره من خلال التليفزيون",NA,NA,NA,NA
"6","23","First:,Second:","المجلس القومي للمرأة","منظمة حقوق الإنسان والحريات",NA,NA,NA
"7","28","First:,Second:","محكمه الاسره","الجمعيات الاجتماعيه",NA,NA,NA
"8","29","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","نوادى المرأة","جمعيات اهليه","مراكز شباب","مراكز الاعلام"
"9","31","First:","بعض صفحات عالفيس بوك اسمع انها بتقدم",NA,NA,NA,NA
"10","32","First:,Second:,Third:","منظمه حقوق الانسان","منظمه حقوق المرأة","منظمه الامومه والطفوله",NA,NA
"11","37","First:,Second:,I do not know any.","المجلس القومي لحقوق المرأة","محكمة الأسرة",NA,NA,NA
"12","40","First:","منظمة حقوق المرأة",NA,NA,NA,NA
"13","44","First:,Second:,Third:","وزارة التضامن الاجتماعي","المجلس القومي للمرأه","التأمينات و المعاشات",NA,NA
"14","45","First:,Second:","الشيوخ","مقدمة برنامج دينى اسمها دكتورة هالة",NA,NA,NA
"15","52","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"16","53","First:","المجلس القومى للمراه",NA,NA,NA,NA
"17","59","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"18","61","First:","اقسام الشرطة",NA,NA,NA,NA
"19","63","First:,Second:","نجده الطفل","المجلس القومي للمرأة",NA,NA,NA
"20","64","First:,Second:,Third:","المجلس  القومي لحقوق المرأة","المجلس القومى لحقوق الطفل","محكمة الاسره",NA,NA
"21","66","First:,Second:,Third:","مركز المرأه العالمي","مركز الامومه والطفوله","محكمه الأسره",NA,NA
"22","70","First:,Second:","جمعيات حقوق المرأة","المجلس القومى للمرأة",NA,NA,NA
"23","73","First:","حقوق المرأة",NA,NA,NA,NA
"24","75","First:","برنامج انتى وبس",NA,NA,NA,NA
"25","76","First:,Second:,Third:,Fourth:","مؤسسه حقوق المرأه","معرفش","معرفش","معرفش",NA
"26","78","First:","بعض مؤسسات المجتمع المدني د",NA,NA,NA,NA
"27","79","First:","الكنيسه",NA,NA,NA,NA
"28","82","First:,I do not know any.","ب",NA,NA,NA,NA
"29","87","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأه","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"30","90","First:,Second:","المجلس القومي للمرأه","الجهات القانونيه",NA,NA,NA
