"","V1","V2"
"1","18","الحكاية عمرو اديب"
"2","26","عمرو اديب"
"3","70","مش بتفرج علي التلفزيون اصلا"
"4","73","سياسيه"
"5","76","الحكايه لعمرو اديب"
"6","89","الحقيقه"
"7","90","تخاريف"
"8","92","الحكايه و اخر النهار"
"9","122","الحكاية"
"10","129","الحكايه"
"11","131","الحكاية مع عمرو اديب"
"12","134","العاشرة مساء لوائل الإبراشي"
"13","146","هي وبس رضوي الشربيني"
"14","172","امين وشركاه"
"15","175","علي مسؤليتي"
"16","185","الحكايه"
"17","201","يحدث في مصر"
"18","202","الحكاية مع عمرو أديب"
"19","218","التاسعة مساء"
"20","224","الحكايه"
"21","227","الحكاية عمرو اديب"
"22","232","الحكاية"
"23","235","الكايه"
"24","236","الحكاية مع عمرو اديب"
"25","240","على مسؤلية.احمد موسى"
"26","260","الحكايه مع عمرو اديب"
"27","268","الحكاية"
"28","270","الحكايه عمرو أديب"
"29","272","الحكايه"
"30","275","الحكايه عمر اديب"
"31","309","الحكايه"
"32","311","العباقرة"
"33","314","الحكاية"
"34","341","هت الموسم"
"35","345","عمرو اديب"
"36","373","يحدث فى مصر"
"37","375","الحكايه لعمرو اديب"
"38","382","تامر امين"
"39","408","اكلات وتكات"
"40","423","عمرو اديب"
"41","428","العباقرة"
"42","430","الحكاية عمرو أديب"
"43","443","الحكاية عمرو اديب"
"44","476","الحكاية"
"45","510","عمرو اديب"
"46","527","حكايات نهاد"
"47","561","الحكايه"
"48","566","الحكاية"
"49","570","الحكاية"
"50","593","الحكايه"
"51","602","الحكاية مع عمر اديب"
"52","616","حكايات نهاد"
"53","620","احمد موسي"
"54","626","الحكايه مع عمرو اديب"
"55","638","الحكايه /كل يوم/على مسؤوليتي"
"56","647","الحكايه"
"57","689","الحكاية عمرو اديب"
"58","691","الحكايه عمرو اديب"
"59","693","تخاريف"
"60","696","احيانا لما بيكون the voice شغال"
"61","700","هي وبس علي cbc"
"62","708","مساء dmc"
"63","717","عمرو اديب"
"64","730","الحكاية"
"65","785","الحكاية"
"66","808","الحكاية"
"67","810","افلام"
"68","814","حكايات نهاد"
"69","821","مسلسلات دراما"
"70","839","الحكاية"
"71","846","العباقرة"
"72","851","العباقرة"
"73","875","Mbc مصر"
"74","877","السهرة الليلة مع ربعة"
"75","884","مع مني الشاذلي"
"76","889","الحكاية مع عمرو اديب"
"77","912","الحكاية"
"78","926","العباقرة"
"79","928","الحكايه"
"80","950","عمر اديب"
"81","967","امى ولا مراتى"
"82","970","الحكاية"
"83","974","الحكاية مع عمرو اديب"
"84","979","برامج اخباريه"
"85","994","راجل و 2 ستات"
"86","1003","أحمد امين"
"87","1030","بعد التاسعة والحكاية"
"88","1035","عمرو أديب هو البرنامج الوحيد المتابعه له بانتظام في أيامه المتخصصه له"
"89","1049","وائل الابراشي"
"90","1060","على مسؤليتي"
"91","1065","على مسؤليتي"
"92","1067","الحكاية"
"93","1071","الحكايه"
"94","1076","الحكايه مع عمرو اديب"
"95","1087","بيوتي ماتش"
"96","1088","علي مسؤوليتي"
"97","1093","قلم رصاص .. الورقة"
"98","1101","الحكاية"
"99","1103","العباقرة"
"100","1130","الحكايه ايه"
"101","1140","امين وشركاه"
"102","1143","The voice"
