"","V1","V2"
"1","13","حق المرأة فى رفض خدمة حماتها"
"2","17","قصص كفاح للمرأة"
"3","21","عن الحريه الشخصه فى طريقه تربيه الاطفال وتعليق الامهات انها مش بتضغط الاولاد للحصول على تارجت فى الدرجات معين"
"4","24","مناقشه قضايا وقصص تخص المرآه"
"5","28","العصبيه بين الزوجين"
"6","29","تحفيز وجذب انتباة المواطنين والمسئولين نحو قضايا المرأة"
"7","31","جيد"
"8","38","عن ختان البنات و الزواج المبكر"
"9","40","العنف ضد المرأة وختان الاناث وتعليم البنات"
"10","42","هادف ومفيد"
"11","47","ضمان حقوق المرأة"
"12","49","تساعد في حل القضايا مثل المتعلقه بالاطفال والمرأه"
"13","53","ختان البنات"
"14","70","حلقة البنات والانترنت وحلقة يعنى ايه راجل ، حلقة ازاى تكونى شخصيه مهمه وحلقة الجوازه التانيه"
"15","74","ختان الاناث"
"16","81","تعليمي و يكون في نقاش و فكر"
"17","82","واقعى جدا واجتماعى"
"18","86","قصص عن حاجات حقيقيه حصلت مع ناس.. وشويه حلول وتوعيه للناس"
"19","90","عن التحرش. حقوق المرأة"
"20","97","التحرش"
"21","99","مفيدة"
"22","100","الفرق بين الطلاق و الخلع .. ان كلا الطريقين للانفصال لا يتعارضوا مع حقوق الاطفال من نفقة و سكن حضانه"
"23","101","فاكرة حلقة عن تمويل المشروعات الصغيرة"
"24","103","موضوعيه واقعيه ومن حياتنا بالفعل"
"25","107","توعيه للمرأه واي التصرف اللي ممكن يتعمل ف مواقف بتتحط فيها والآثار السلبيه اللي حصلت للمرأه نتيجه كرونا"
"26","110","كان تقريبا عن الطلاق"
"27","120","التنمر"
"28","125","ختان البنت و شغل المرأة و ابتحرش"
"29","127","مشاكل الكورونا، قضايا التحرش الجنسي، تربية الأولاد مجتمعيا"
"30","130","توعوية قانونية"
"31","131","ازاي البنت او الست عموماً تعرف أن لها حقوق زي ما عليها واجبات ازاي تبقى اقوى و تواجه اي صعوبات بتقابلها ف حياتها سواء زوجة أو بنت"
"32","133","كلام عن التحرش الجنسى للسيدات والأطفال وختان الإناث وغيرها من قضايا المرأة في العموم"
"33","135","مفيد"
"34","136","الختان وكذا حاجة بس مش متذكرة"
"35","145","التحرش. الاغتصاب."
"36","146","توعوية"
"37","147","رائعة، المختصرة المفيد، مفيدة جدا خصوصا للمرأة العاملة، مركزة"
