"","V1","V2"
"1","9","الختان"
"2","13","توعية المرأة بحقها القانونى"
"3","17","قصه الكفاح"
"4","21","الحقوق القانونيه للمراءه.. واختيار اسلوبي فى تربيه اولادى"
"5","22","دفعها عن زينب بشكل حيادى"
"6","24","منع ختان الاناث"
"7","28","كل حلقات الاستاذه نهاد مفيده جدا"
"8","29","الزواج المبكر"
"9","38","الكلام عن البنات فى السن الصغير زى مشاكل الختان و الاغتصاب و الزواج المبكر"
"10","40","التعليم للبنات"
"11","42","حقوق المراة"
"12","49","قضايا الاطفال"
"13","53","الزواج العرفى"
"14","62","الختان"
"15","65","حقوق المراءه"
"16","68","ختان الاناث"
"17","70","حلقة ازاى تكونى شخصية مهمه عجبتنى اوى وادتنى امل كبير وثقه ف النفس وطموح اكون حاجه كبيرة"
"18","78","نصائح للمرأة كيف تكون واثقة من نفسها"
"19","80","الحقوق القانونية للمراءة"
"20","82","ازاى تبقى شخصية مهمه و بروفايل الفيس"
"21","90","مواجهة التحرش"
"22","97","التحرش"
"23","99","البنات والانترنت"
"24","100","الخلع و الطلاق"
"25","101","التحرش"
"26","103","الحلقات اللي اتكلمت عن التحرش"
"27","107","ازاي تدافع المرأه عن نفسها ضدعتف الرجل والمجتمع عنوما"
"28","110","المواضيع كلها لانها شيقه للاستماع وهى طريقتها نجذب الانتباه"
"29","118","التحرش"
"30","120","التنمر"
"31","125","شغل المرأة"
"32","127","مواضيع الحياة اليومية والاغلب على الصعوبات"
"33","128","التحرش والدفاع"
"34","131","حلقات التحرش و صوره سواء للسيدات أو الأطفال و ازي نوعي اولادنا ف عن التحرش و حلقات تأثير فيرس كرونا على حياة الست و ازي تقدر توفق ف شغلها اثناء انتشار الفيرس ده"
"35","132","العنف ضد المرأه"
"36","135","التعريف بالقانون"
"37","136","الختان لاني يرفضه بشدة"
"38","138","حلقات تتكلم عن حقوق المراه القانونيه"
"39","145","التحرش وازاى أدافع عن نفسي"
"40","146","نبذ العنف ضد المراه"
"41","147","اهمية عمل المرأة والتوفيق مع البيت، الخلع والطلاق، التحرش في بيئة العمل، التحرش بالاطفال"
"42","149","امراه المقهوره"
"43","150","التحرش"
"44","151","التحرش"
"45","152","الست القويه"
"46","154","تقريبا معظم المواضيع"
"47","157","مواضيع كيفية المحافظة على حقوق المرأةبمشاكلها وصورها المختلفة مع الزوج  والتصدى للمواقف مع الاخوات"
"48","161","حق المرأة"
"49","163","تفسيرها للقضاييا الخاصة بالبناء بعد الطلاق"
"50","166","التحرش   غلطة عمر"
"51","175","الفوانين الخاصة بالسرو وحقوق الزوجة."
"52","176","كيف تحصلين على حقك وقت الأزمات مع الزوج"
"53","178","الاستقلالية الماديه للمراه"
"54","179","قضايا العنف الأسري"
"55","182","القوانين اللي بتهم المرإة"
"56","183","المراءة وتهتم بنفسها ازاي ومتقضيش وقتها في المطبخ"
"57","184","اهانة المرأة.."
"58","191","كل المواضيع شيقه"
"59","195","انا بحب الحلقات اللي بتتكلم عن تطوير المرأة لذاتها وولادها وبتابعها عبر الشوشيال ميديا هي واسرتها"
"60","201","العنف ضد المراءه والفرق بين الطلاق والغلع"
"61","203","التحرش"
"62","204","العنف ضد المرأة وكيف توفق المرأة بين مسئوليات العمل ومتطلبات المنزل وتكون شخصية  مسئولة"
"63","210","الاسرة"
"64","211","المواضيع اللي بتقوي المراه وتعرفها حقوقها"
"65","214","حقوق المراه"
"66","219","نوعيه المراه بحقوقها وتحقيق ذاتها"
"67","224","كل الموضوعات جيده"
"68","225","كيفيه استرداد حق الزوجه"
"69","226","حقوق المرأه و كيفيه التصرف فى حالات الخلافات الاسريه وكمان اوى أوثق الملكيات"
"70","227","الشيكات"
"71","230","مشكلات واقعية وقضايا أسرية"
"72","238","امكانية مشاركة المرأة في البرلمان_مجلس الشعب"
"73","243","بتدى للمرأة قوة الدفاع عن نفسها"
"74","246","شغل المرأه واستقلاها اقتصاديا معرفه خقوقها سواء ماديه او اجتماعيه او قانونيه وقانونيه دي مهمه جدا"
"75","248","بصفة عامة اعتماد المرأة علي نفسها وقوة شخصيتها"
"76","255","احلى سن عند البنات سن الاربعين"
"77","256","فقره الاسئله"
"78","259","الثقة بنفسي"
"79","265","الفرق بين الطلاق والخلع"
"80","269","انه بيزيد من وعي المرأه بحقوقها"
"81","271","كل مواضيع المراه بتعجبني خاصه حقوق المراه"
"82","272","العنف ضد المراه"
"83","276","كانت في واحده صعيديه نىاشطه أو حاصل علي تكريم"
"84","279","التعاطف مع حالات التحرش"
"85","280","ربط الحقوق"
"86","283","كلهم"
"87","284","التصدى للعنف"
"88","290","الخلع"
"89","296","حقوق الزوجه عند الطلاق وأثناء الزواج"
"90","308","عن ازاى تبقى شخصيه مهمه"
"91","311","مساندة وبث الثقه للمرأة أيا كانت مستواها الاجتماعي وأنها متسبش حقها وبتعرف الست ازاي تجيب حقها"
"92","313","الحديث عن الوعي القانوني"
"93","315","قضايا الطلاق والاطفال"
