"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"1","1","First:","دعم المرأة",NA,NA,NA,NA
"2","6","First:,Second:","البرامج التليفزيونية","علي الانترنت برامج دعم المرأة",NA,NA,NA
"3","11","First:","ماميز سينجل علي ال",NA,NA,NA,NA
"4","13","First:","Facebook",NA,NA,NA,NA
"5","15","First:,Second:,Third:,Fourth:","المجتمع","الانترنت","ا","التليفزيون",NA
"6","18","First:","المركز القومي للمرأة",NA,NA,NA,NA
"7","21","First:","مباحث الانترنت",NA,NA,NA,NA
"8","22","First:,Second:","الدكتوره نهاد","جروب الفيس الخاص بالمشاكل",NA,NA,NA
"9","31","First:","عموما صفحات الحركة النسوية في مصر",NA,NA,NA,NA
"10","36","First:","جروب سنجل ماذرز",NA,NA,NA,NA
"11","38","First:,Second:,Third:,I do not know any.","فيسبوك","واتساب","جوجل",NA,NA
"12","40","First:,Second:","برنامج نهاد ابو القمصان","دعم المرأة",NA,NA,NA
"13","42","First:","برامج دعم المرأة",NA,NA,NA,NA
"14","44","First:,Second:,Third:","المجلس القومي للمرأه","وزارة التضامن الاجتماعي","مراكز إعادة تأهيل ضحايا العنف الأسرى",NA,NA
"15","46","First:,Second:,Third:,Fourth:,Fifth:","صديقتي","اختي","مواقع كلام الستات","انا","التليجرام"
"16","52","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى المرأة","منظمات حقوق المرأة","الرقم الساخن 16000","قطاع حقوق الانسان بوزارة الداخلية","المجلس القومى للامومه و الطفولة"
"17","53","First:,Second:","اليوم السابع خليها علينا","اليوتيوب",NA,NA,NA
"18","63","First:","المجلس القومي المراه",NA,NA,NA,NA
"19","64","First:,Second:,Third:","جمعية حقوق المرأة","الازهر الشريف","الكنيسه",NA,NA
"20","66","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","تويتر","انستجرام","السلطات","مجلس المراه"
"21","70","First:,Second:,Third:","فيس بوك","يوتيوب","واتساب",NA,NA
"22","76","First:,Second:,Third:","جمعيه حقوق المرأه","امسك متحرش","افضح متحرش",NA,NA
"23","82","First:","جمعية دعم المرأة",NA,NA,NA,NA
"24","87","First:,Second:,Third:","جروبات الفيس","فديوهات يو تيوب","مواقع متخصصه بها اطباء نفسيين",NA,NA
"25","90","First:,Second:","المجلس القومي للمرأه","منظمات حقوق الإنسان",NA,NA,NA
"26","92","First:,Second:","Facebook","Google",NA,NA,NA
"27","94","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأه","Y peer","لا اعرف","لا اعرف","لا اعرف"
"28","96","First:,Second:","المجلس القومي للمرأة","مباحث الانترنت اذا كان التحرش عبر الانترنت",NA,NA,NA
"29","97","First:","مركز حقوق المرأة",NA,NA,NA,NA
"30","99","First:,Second:,Third:,Fourth:,Fifth:","الشرطة","المركز المصري لحقوق المرأة","المجلس القومي للمرأة","مؤسسة المرأة الحديدية","رابطة المرأة العربية"
"31","101","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة","البرامج التليفزيونية المهتمة بقضايا المرأة",NA,NA
"32","103","First:,Second:,Third:","مركز حقوق المراه","المجلس القومي للمراه","مركز القاهره لحقوق الانسان",NA,NA
"33","104","First:","ا.نهاد ابو القمصان",NA,NA,NA,NA
"34","105","First:,Second:,Third:,Fourth:,Fifth:","برامج خاصه بالمراءه  ومشاكلها الزوجيه","صفحات لدكاتره  متخصصين ف حل المشاكل الاسريه","الجهات المختصه بالنوع دا من المشاكل","الفيس بوك فيه صفحات لدكاتره ومتخصصين","الانستجرام"
"35","107","First:","حكايات نهاد",NA,NA,NA,NA
"36","108","First:,Second:","حمله انتي مش لوحدك","جمعيه حقوق المراه",NA,NA,NA
"37","109","First:,Second:,Third:","الصفحات المعروفه بالاهتمام بهذه الامور","بعض مواقع حقوق المرأه المعروفه","صفحات الشخصيه لبعض الشخصيات المعروفه باهتمامها بهذه الامور",NA,NA
"38","110","First:","حكايات نهاد",NA,NA,NA,NA
"39","111","First:","حقوق المرأه",NA,NA,NA,NA
"40","113","First:","المجلس القومي للمرأة",NA,NA,NA,NA
