"","index","answer"
"1","44","تطلب الطلاق فورا لانه مش بني آدم"
"2","65","تطلق وتشتغل"
"3","103","تطلق وتخلص"
"4","123","يجب وضع حد وتدخل الأهل ومنع ذلك ان يحدث مجددا بكل الطرق"
"5","133","تتواصل مع جهة مختصه لتقديم الدعم بعد استنفاذ الوسائل المتاحة"
"6","182","بعد استنفاذ الحلول السلمية يجب الانفصال"
"7","312","تتحدث اولا مع الزوج ثم الأهل ولو تكرر الموضوع تبلغ السلطات"
"8","340","فى الحالات الشديدة للعنف تبلغ السلطات"
"9","401","تبحث عن عمل لها"
"10","411","التوجه لرجل دين أو أحد يطمئن الزوج إليه سواء من أهله أو أصدقائه دون الخوض في تفاصيل"
"11","453","التواصل مع استشاري علاقات زوجته في حاله عدم وجود نتيجه تقوم بالتوجه لاماكن دعم المرآه"
"12","469","تطلق"
"13","514","الاستعانة بمشيخة الأزهر فى قسم العلاقات الاسرية"
"14","535","حاسه ان مفروض يبقي في جهة. ليها. علاقه بالقانون اه بس هي دينيه. و صحيحة زي ما في الكنائس بيتدخلو ساعات في الحاجات دي لحلها. معرفش مدي نجاحها بس احنا كمسلمين مفيش دا"
"15","624","تتكلم معاه الاول ولو مجبش نتيجه تكلم حد عاقل وثقه ولو مجبش نتيجه بقى يبقى مظنش فيه حل غير الانفصال"
"16","630","معتقدش تبليغ السلطات حل، عشان حسب معلوماتي ممكن الرجل يتسجن فترة قصيرة ويطلع ينتقم من المرأة اللي بلغت عنه"
"17","781","تبعد عنه خالص"
"18","788","لو متصلحش الموضوع تنفصل"
"19","805","الكلام مع الزوج دي فرصه اولي واعرفه ان ده لو اتكرر همحيه من حياتي ولو مفيش هتواصل مع اهلي وهبلغ سلطات مختصه"
"20","878","لو بدون أذي تحل الموضوع بينهم ولو بأذي تبلغ السلطات"
"21","879","متاح لها اللجوء للقضاء لطلب الطلاق للضرر"
"22","958","تصعيد الأمر للسلطات ورفع القضايا حتى لو سيتضرر الزواج"
"23","1047","على حسب نوع  العنف ودرجته ونوع العلاقة"
"24","1080","حقيقي لازم في جهة مختصة بتبحث في القضايا دي ،لان في سيدات كتيرة متعرفش تستعمل المواقع و لا تعرف تتصرف لازم جهة مختصة مفوضة قانونيا"
"25","1112","تبحث عن مصدر للدخل واستقل ماديا لو تقدر تفعل ذلك"
"26","1143","عدم التواجد في هذا المنزل حتي لايزيد تعرضها لهذا العنف مره اخري"
"27","1145","توفير اطباء نفسيين ومحاميين لحل الموضوع او تعريفها بحقوقها عند فشل الصلح"
"28","1167","تبليغ السلطات المختصة ممكن يكون ضرر ليها ويتم رجوعها لاهلها مرة تانية تحت التهديد لان السلطة الذكورية هي الغالبة"
"29","1277","تبدأ بهذه الخيارات من أسفل لاعلى"
"30","1285","لا داعي للكلام مع الزوج ان لم تكن اول مره لو اول مره لازم يتعهد انها اخر مره ويعتزر الف مره قدام كل الي شافو غو عرفو بالواقعه ويبدي اسفه وميكررهاش مجرد التكرار لازم تاخد موقف و تستعين بكل وسيله"
"31","1303","انا عن نفسي هتطلق"
"32","1307","تروح تبلغ عنه وتحبسه وتاخد هيا الشقه"
"33","1367","فى نماذج من الاهل كتير مش بيكونوا دعم لبناتهم، احنا محتاجين جهة مختصة تتوجه للزوج بنفسها لردعة عن العنف ضد زوجته ، كتير الزوجة مش بيكون بيدها حيلة ومحتاجة حد يقف فى ضهرها ."
"34","1377","مفيش جهات بتنفع كنت في خلاف مع زوجي وأهله ولما اتصلت بالمجلس القومي للمرأة رد عليا واحد قالي ارفعي عليه قضية وده مكنش حل"
"35","1551","تتكلم مع الزوج ثم الاهل لو مفيش نتيجه مرضيه تنفصل"
"36","1615","لازم يكون ف قانون رادع للعنف ضد المران مش مجرد محضر وبيحفظ للاسف"
"37","1622","تتطلق"
"38","1641","البحث عن مصدر رزق اذا كانت لا تعمل"
"39","1712","ممكن تتكلم مع احد من اهل الزوج يكون له تأثير عليه"
"40","1745","نفسي حد بحالي مشكلتي"
"41","1771","تفكر جديا في الاستقلال المادى ثم الانفصال"
"42","1816","الاعتماد علي النفس"
"43","1854","تتواصل مع مستشار زواج للمساعدة في حل المشاكل و مساعدة الزوج في التخلص من العنف"
"44","1919","لو زاد الأمر عن الحد المسموح به من العنف يبقى لازم تلجأ للسلطات"
"45","1921","الفتيات بتحاول الهروب من الغنف لمكان بتكون فاكره انو افضل لاكن حيانا بيكون اسوأ واحيانا لأ وبيكون رحمه ليهم بعيد عن اهلهم للأسف والمفروض ان الاهل هما السند والامان لاكن بالعكس هما العمف وعدم الامان ودايما الخوف من جرايم الشرف والضرب داخل المنزل للتربية"
"46","2008","ترك المنزل والاستقلال"
"47","2052","اولا تعمل محضر مدعم بتقرير طبي وتطلب الطلاق إذا استحال العشره لو ده طبعه لانه مش هيتغير للاسف"
"48","2079","مشورة رجال الدين"
"49","2163","تسلم أمرها لله محدش هينصفها اصلا"
"50","2172","علاج نفسي مجتمعي تشارك فيه الاسره جميعها"
"51","2326","ترد الضرب للزوج"
"52","2412","الدعاء واللجوء لرب العالمين ، واذا اضطر الامر فلتهرب من الحقير اللذي يعنفها"
"53","2627","تستقل"
"54","2632","الطب النفسى"
"55","2668","تدور علي وسيلهرتمنع بيها العنف ده  من اصله"
"56","2732","تبحث عن برامج على اليوتيوب لإيجاد حلول مناسبة"
"57","2746","الطلاق"
"58","2802","تتكلم مع الزوج ولو حيوان تلجأ لأهلها ولو حمير تبلغ عنه"
"59","2845","الطلاق"
"60","2867","من وجه نظرى دوليه سلوكيات الطرفين والاتفاق فيما بينهم لحلول مرضيه للطرفين أن أمكن وتفاهم الطرفين مع بعض وإذا لم يمكن واحد الأطراف لم يتقبل التفاهم نلجا إلى السلطات المختصه بذلك"
"61","2896","اخر حل الانفصال"
"62","3072","يتحدد طريقة الحل وفقا لظروف كل حالة"
"63","3084","يتم التدرج في استخدام ما سبق حسب حدة الحالة"
"64","3108","البحث عن عمل لها يساعدها فى حالة عدم الاستقرار"
