"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"1","4","First:,Second:,Third:","المجلس القومي للمرأة","الجمعيات","حقوق الانسان",NA,NA
"2","15","First:,Second:,Third:","التليفزيون","الفيسبوك","اليوتيوب",NA,NA
"3","21","First:,Second:","مكتب حقي","المجلس القومى للمراءه",NA,NA,NA
"4","22","First:,Second:","برامج التوعية","الجهات الحكوميه",NA,NA,NA
"5","29","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","الجمعيات النسائيه","التضامن الاجتماعى","التثقيف الصحى بمديريات الصحه","جمعيات تنظيم الاسرة"
"6","30","First:,Second:","التحرير بايج على الفيس بوك","المجلس الاعلي للمراة",NA,NA,NA
"7","31","First:,Second:","الحركة النسوية","المجلس القومي للمرأة",NA,NA,NA
"8","37","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"9","38","First:,Second:","جروبات فيس بوك","جروبات واتساب",NA,NA,NA
"10","39","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"11","40","First:","مركز حقوق المرأة",NA,NA,NA,NA
"12","42","First:","دعم المرأة",NA,NA,NA,NA
"13","44","First:,Second:","برامج التلفزيون","المجلس القومي للمرأه",NA,NA,NA
"14","46","First:,Second:,Third:,Fourth:,Fifth:","حكايات جهاد","سوكه","رضوي الشربيني","كلام بنات","كلام ستات وبس"
"15","52","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للامومه و الطفولة","قطاع حقوق الانسان بوزارة الداخلية","المجلس القومى للمرأة","جمعيات حقوق المرأة","الازهر و الكنيسة المصرية"
"16","53","First:,Second:,Third:","المجلس القومى للمراه","النائب العام","الشؤون الاجتماعيه",NA,NA
"17","62","First:","الشرطة",NA,NA,NA,NA
"18","64","First:,Second:,Third:,Fourth:,Fifth:","جمعيات حقوق المرأة","جمعيات حقوق الإنسان","الازهر الشريف","الكنيسه","فيديوهات يوتيوب"
"19","66","First:","مجلس المراه",NA,NA,NA,NA
"20","70","First:","السلطات المختصه ذى الشرطه",NA,NA,NA,NA
"21","74","First:","برنامج حكايات نهارد",NA,NA,NA,NA
"22","81","First:","المركز ااقومي للمراة",NA,NA,NA,NA
"23","82","First:","جمعية دعم المرأة",NA,NA,NA,NA
"24","84","First:,Second:","دكاتره الطب النفسي","جمعيات دعم المرآه",NA,NA,NA
"25","87","First:,Second:","جروبات فيس","فديوهات يو تيوب",NA,NA,NA
"26","90","First:,Second:","المجلس القومي للمرأه","منظمات حقوق الإنسان",NA,NA,NA
"27","91","First:","حقوق المرأة",NA,NA,NA,NA
"28","94","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأه","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"29","96","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"30","97","First:","برنامج حكايت بنات",NA,NA,NA,NA
"31","99","First:,Second:,Third:","جمعية نهوض وتنمية المرأة","مؤسسة المرأة  والذاكرة","المركز القومي للمرأة",NA,NA
"32","100","First:,Second:","المركز المصرى لحقوق المرأة","المجلس القومى لحقوق المرأة",NA,NA,NA
"33","101","First:,Second:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة",NA,NA,NA
"34","102","First:","المجلس القومي للمراه",NA,NA,NA,NA
"35","103","First:,Second:,Third:","مركز حقوق المراه","المجلس القومي للمراه","الخط الساخن للعنف ضد المراه من جمعيه حقوق الإنسان",NA,NA
"36","104","First:","ا.نهاد ابو القمصان",NA,NA,NA,NA
"37","105","First:,Second:,Third:,Fourth:,Fifth:","برامج التليفيزيون","الفيس بوك","الانستجرام","دكاتره النصح والارشاد للاعلاقات الاسريه","جوجل"
"38","106","First:,Second:","المجلس القومي للمرأة","المجلس القومي للأمومة والطفوله",NA,NA,NA
