"","index","videos_liked_topics"
"1","1","الوعى بالقضاء على مشاكل المراه"
"2","14","دعم تللك السيدات"
"3","29","دور المرأة فى سياسات الدوله"
"4","38","الستات المطلقه و مشاكل الطلاق"
"5","49","مسانده مواقف المراه الضعيفه والتي لا تجد من يدعمها"
"6","64","الاهتمام بتوعية المرأه"
"7","67","العنف المنزلي ضد المرأة"
"8","70","موضوع رفض العنف والضرب والمطالبه بحقها ف التعليم والعمل"
"9","76","انتقاد المتحرشين"
"10","78","كيف تكون المرأة واثقة فى نفسها"
"11","79","كيف اخد المرأة حقوقها"
"12","80","كل ما يخص المراءة"
"13","82","ازاى تبقى شخصية مهمه"
"14","87","العنف ضد المرأه"
"15","91","حبيت فكرة التضامن مع حقوقنا كستات وأننا مش مجرد سلعة للبيع،  بحب اقرأ البوستات دي وكمان اتفرج ع الفيديوهات دي"
"16","97","ختان البنات"
"17","99","مقاومة التحرش"
"18","100","الاثار السلبية لفيروس كورونا على شغل الستات"
"19","101","عمل المرأة وانه لا يتعارض مع مسئوليتها في بيتها"
"20","103","مواضيع التحرش"
"21","104","كلهم استفدت منهم"
"22","105","موضوع التحرش عشان زاد اووي عن حده"
"23","107","قصص عن نماذج للمراه المطحونه"
"24","109","التحرش الجنسي وعقوبته التحرش بالاطفال انواع التحرش من لفظي وفعل ونظر وهكذا"
"25","110","لو شوفت حد بيتحرشبزميلك ف الشغل هتعمل ايه"
"26","113","عمل المرأة والمشاركة فى العمل العام"
"27","115","كيفية مواجهة التحرش"
"28","116","مواضيع تنظيم الأسرة ومعرفة المرأة لحقوقها في المجتمع"
"29","118","الفرق بين الخلع والطلاق"
"30","119","أهمية الشغل"
"31","120","كيفية مواجهة هذه الظاهرة"
"32","123","كلها جميلة وبيرفكت"
"33","124","فديوهات دعم المراه وموضوعات التحرش الجنسي وخاصه حمايه الاطفال"
"34","125","تنظيم الوقت"
"35","126","موضوع كيفيه معرفة المتحرش من خلال تعامله مع  وفهم تصرفاته الداله على ذلك وكيفيه منعها"
"36","128","الطلاق والتحرش"
"37","130","الاغتصاب و الشغل و الختان"
"38","131","مواجهه التحرش بأنواعه حتى بالنظرات ، و في موضوع كان جميل جدا امتى الست تطلب الخلع و ازي تقول بصوت عالي خلاص مش قادرة اكمل"
"39","132","العنف ضد المرأه"
"40","133","موضوع التعرض للعنف المنزلى وتحليلها للموقف وموضوع الختان"
"41","134","دفاع المراه عن حقوقها"
"42","145","التحرش"
"43","146","جميعها"
"44","147","اهمية عمل المرأة، التصدي للتحرش بالاطفال، التحرش في بيئة العمل"
"45","150","التحرش الجنسي بالأطفال وكيفية حمايتهم"
"46","151","التحرش"
"47","154","كلها"
