"","index","videos_watched_content"
"1","14","عن اجازات المراءه الريفيه في احدي القري لصنع السجاد اليدوي"
"2","39","العنف ضد المرأة"
"3","49","علي الواتساب كنت بدخل علي اللينك المرسل من دعم المرأه واشاهد الفيديو اما علي الفيس بوك كنت اشاهد هي وبس مع رضوي الشربيني"
"4","70","بتتكلم عن حقوق المرأه وضرورة التعليم والعمل ورفضها للعنف والضرب من الزوج او العنف الاسرى"
"5","76","عن التحرش ضدنا"
"6","78","معلونات عاملة للاستاذة نهاد للنساء لمواحهة التحرش وتطور الشخصية والثقة بالنفس"
"7","91","المحتوى بيتكلم عن دعم حقوق المرأة والتحرش والحفاظ على حقوق المرأة من نشطاء كتير على الفيس"
"8","99","حقيقي انا بحب كلامها وبتديني دعم خصوصاً في مقاومة التحرش"
"9","100","التحرش الجنسى .. والتحرش في العمل ... والتحرش بالاطفال .. والطلاق والخلع"
"10","101","التحرش والختان وعمل المرأة والخلع والطلاق"
"11","102","هادف وممتع"
"12","103","افادتني جدا كنت فاكره نفسي عندي معلومات بخصوص مواضيع كتير اكتشفت ان معلوماتي قليله"
"13","104","التحرش الجنسي فلشغل والتحرش الجنسي بلاطفال وختان الاناث"
"14","105","قضايا المرأه وازاي نحلها"
"15","107","ان المرأه لابد أن تدافع عن نفسها ضد أي عنف ومتسمحش لاي حد يبتزها أو يقهرها"
"16","110","التحرش"
"17","115","عن التحرش"
"18","116","عن العنف ضد المرأة وختان الإناث وتنظيم الأسرة وإيه الجهات اللي المرأة تلجأ ليها لو إتعرضت لأي شكل من أشكال العنف"
"19","118","الفرق بين الخلع والطلاق"
"20","120","الاغتضاب"
"21","121","دور المرأة في المجتمع والعنف ضد المرأة"
"22","123","عمل المرأة... التحرش فى العمل... التحرش بالأطفال وغيره"
"23","124","كيف اتعامل مع الاخرين عند التحرش ووحمايه اطفالي من التحرش وعدم السكوت عن هذا الفعل المهين وودعم المراه"
"24","125","التحرش"
"25","126","مقاطع تتكلم عن حقوق المراه فى أن يكون عندها شغلها وأنها تكون فى امان من التحرش وازاى تدافع عن نفسها والجهات اللى ممكن تلجأ إليها فى حال تعرضها للتحرش"
"26","130","التحرش ، الشغل ، الطلاق ، الكورونا ، الاغتصاب و غيرها"
"27","131","ازاي فيرس كورونا اثر بسلب على الزوجة لأن بقى عندها حمل الاولاد و متابعتهم و مراعتهم و خصوصاً لو هتشتغل من البيت ، ازاي الست أو البنت تواجهه التحرش لازم نزرع ده ف بناتنا علشان لما ينزلوا سوق العمل يقدروا يعدوا لو وجههم مشكلة زي التحرش و خصوصاً لو بنت بتشتغل لأول مرة"
"28","132","العنف والخلع والطلاق والتحرش الجنسي"
